.,Year,Report Edition,SHA Miles,State Controlled Lane Miles,Capital Disbursements,Maintenence Disbursements,Administrative Disbursements,Total Disbursements,"Rural Interstate Poor Condition, Number of Miles, IRI > 170",Rural Interstate Total Miles Measured,"Rural Other Principal Arterial Poor Condition Miles, IRI> 220","Rural Other Principal Arterial, Total ","Urban Interstate Poor Condition Miles, IRI > 170",Urban Interstate Total Reported,"Urban Other Principal Arterial, Miles less than <220","Urban Other Principal Arterial, Total",Total Fatalities,Rural - I - OFE - OPA - Total Fatalities,Urban - I - OFE - OPA Total Fatalities,Total VMT,Rural VMT,Urban VMT,Highway Bridges,Deficient Bridges,Structurally Deficient Bridges,Congestion Metric Type ,Congestion Metric Reported
Maine,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Monta,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
North Caroli,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
South Caroli,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2011,,"11,081","29,324","827,721","177,393","171,800","1,410,721",13,537,6,"2,110",25,368,17,"1,038",776,148,200,"64,914","12,064","15,868","16,061","3,729",,Percent of Total Freeway Land Miles Congestioned (UMR),3099.00%
Alaska,2011,,"7,401","11,653","414,849","220,729","67,820","790,966",101,"1,005",102,534,2,79,11,122,58,26,11,"4,593","1,150","1,407","1,156",286,,Percent of Total Freeway Land Miles Congestioned (UMR),2710.00%
Arizo,2011,,"7,142","19,341","987,160","133,191","195,463","1,837,104",13,962,2,"1,137",3,116,41,477,683,158,212,"59,575","10,462","25,627","7,739","1,015",,Percent of Total Freeway Land Miles Congestioned (UMR),4519.00%
Arkansas,2011,,"16,414","37,357","668,795","184,153","32,722","1,151,683",20,441,17,"2,037",25,214,44,624,425,136,85,"32,953","8,791","8,605","12,641","2,958",,Percent of Total Freeway Land Miles Congestioned (UMR),3144.00%
California,2011,,"18,146","49,598","4,067,548","1,580,175","737,148","8,684,011",73,"1,112",27,"2,953",175,976,"1,231","5,272","2,545",661,"1,011","320,784","32,667","180,612","24,603","7,162",,Percent of Total Freeway Land Miles Congestioned (UMR),5492.00%
Colorado,2011,,"9,905","22,934","597,287","400,256","199,735","1,636,617",31,685,12,"2,311",8,268,176,"1,180",404,99,140,"46,606","8,390","21,004","8,551","1,497",,Percent of Total Freeway Land Miles Congestioned (UMR),4517.00%
Connecticut,2011,,"4,081","9,838","759,837","114,784","323,329","1,700,537",1,43,1,127,9,303,100,681,183,4,100,"31,197","1,511","17,080","4,200","1,476",,Percent of Total Freeway Land Miles Congestioned (UMR),3512.00%
Delaware,2011,,"5,442","11,797","290,646","402,683","66,868","1,191,439",,-,1,158,3,41,19,172,82,21,19,"9,028","1,413","3,610",857,175,,Percent of Total Freeway Land Miles Congestioned (UMR),4594.00%
Florida,2011,,"12,149","42,956","4,049,481","927,192","241,203","6,389,016",0,745,10,"2,517",12,718,122,"3,339","1,485",297,749,"191,855","19,029","75,123","11,986","2,036",,Percent of Total Freeway Land Miles Congestioned (UMR),6450.00%
Georgia,2011,,"18,321","48,397","1,328,915","227,666","398,280","3,045,913",0,713,0,"2,391",-,427,4,"1,219","1,013",183,262,"108,454","15,918","34,236","14,694","2,800",,Percent of Total Freeway Land Miles Congestioned (UMR),5177.00%
Hawaii,2011,,"1,013","2,492","215,109","39,612","74,220","386,975",1,6,14,106,16,48,30,226,81,12,29,"10,066",590,"4,184","1,132",515,,Percent of Total Freeway Land Miles Congestioned (UMR),6148.00%
Idaho,2011,,"4,979","12,225","442,950","124,609","27,753","678,569",23,522,2,"1,728",0,90,21,352,133,59,19,"15,937","4,373","3,504","4,164",823,,Percent of Total Freeway Land Miles Congestioned (UMR),4241.00%
Illinois,2011,,"16,738","42,097","2,268,657","676,457","251,845","4,195,603",0,"1,356",23,"2,345",16,826,290,"2,978",775,113,226,"103,234","12,733","43,855","26,436","4,379",,Percent of Total Freeway Land Miles Congestioned (UMR),5525.00%
India,2011,,"11,139","27,879","1,342,541","585,682","283,614","2,634,198",30,619,29,"1,587",32,396,219,"1,840",432,55,35,"76,485","11,948","21,687","18,640","4,264",,Percent of Total Freeway Land Miles Congestioned (UMR),5075.00%
Iowa,2011,,"9,511","22,740","585,019","202,615","54,290","962,577",2,608,19,"3,270",6,149,73,739,263,108,17,"31,274","10,571","6,159","24,537","6,793",,Percent of Total Freeway Land Miles Congestioned (UMR),4039.00%
Kansas,2011,,"10,576","23,988","681,076","169,037","51,315","1,228,683",0,656,-,"3,039",1,218,33,797,308,143,22,"30,021","7,710","9,039","25,233","4,724",,Percent of Total Freeway Land Miles Congestioned (UMR),1863.00%
Kentucky,2011,,"27,968","61,799","1,046,402","416,493","23,306","1,773,161",2,525,10,"1,737",5,172,53,736,596,154,87,"48,061","14,569","13,072","13,948","4,475",,Percent of Total Freeway Land Miles Congestioned (UMR),3684.00%
Louisia,2011,,"16,713","39,375","1,572,893","161,332","219,535","2,240,780",21,533,5,"1,017",32,365,125,"1,000",551,70,178,"46,513","8,119","16,071","13,153","3,816",,Percent of Total Freeway Land Miles Congestioned (UMR),3167.00%
Maine,2011,,"8,714","17,617","380,032","211,599","20,954","686,916",0,299,1,788,1,69,10,143,71,16,-,"14,248","4,060","1,674","2,402",794,,Percent of Total Freeway Land Miles Congestioned (UMR),3113.00%
Maryland,2011,,"5,461","14,762","1,323,359","405,375","89,468","2,262,775",3,183,4,441,27,295,104,911,432,45,204,"56,221","6,916","29,441","5,214","1,441",,Percent of Total Freeway Land Miles Congestioned (UMR),5594.00%
Massachusetts,2011,,"3,661","9,570","1,064,039","286,495","274,098","2,472,808",2,90,2,126,28,468,360,"1,491",203,12,133,"54,792","2,007","31,818","5,099","2,744",,Percent of Total Freeway Land Miles Congestioned (UMR),3928.00%
Michigan,2011,,"9,751","27,442","1,174,792","285,529","84,809","2,007,205",21,609,23,"2,196",43,635,516,"2,299",772,79,292,"94,754","11,960","37,945","10,957","3,153",,Percent of Total Freeway Land Miles Congestioned (UMR),3771.00%
Minnesota,2011,,"13,600","29,306","1,239,606","492,018","142,106","2,294,776",17,630,71,"3,570",21,281,26,598,325,78,54,"56,685","11,441","16,379","13,117","1,587",,Percent of Total Freeway Land Miles Congestioned (UMR),3586.00%
Mississippi,2011,,"10,947","27,294","759,482","108,459","70,850","1,064,452",8,502,2,"1,866",1,201,76,907,533,173,23,"38,851","9,392","8,787","17,032","3,919",,Percent of Total Freeway Land Miles Congestioned (UMR),1683.00%
Missouri,2011,,"33,845","75,999","1,286,201","524,051","74,263","2,571,422",6,724,8,"2,157",16,482,49,832,669,141,161,"68,789","14,286","23,602","24,286","7,266",,Percent of Total Freeway Land Miles Congestioned (UMR),2246.00%
Monta,2011,,"11,341","25,049","480,009","121,427","29,462","702,345",17,"1,129",27,"2,623",1,63,29,191,175,99,15,"11,660","4,734","1,346","5,097",915,,Percent of Total Freeway Land Miles Congestioned (UMR),2418.00%
Nebraska,2011,,"10,160","22,474","339,635","152,932","25,761","602,756",0,418,15,"2,361",0,64,48,291,139,64,18,"19,093","5,917","4,410","15,395","3,797",,Percent of Total Freeway Land Miles Congestioned (UMR),2749.00%
Nevada,2011,,"5,379","13,360","533,327","112,483","132,647","963,583",7,34,-,444,-,21,1,57,200,79,31,"24,189","3,431","8,114","1,783",248,,Percent of Total Freeway Land Miles Congestioned (UMR),5453.00%
New Hampshire,2011,,"4,026","8,410","319,550","80,126","95,025","749,488",4,149,0,336,-,76,13,220,52,13,9,"12,720","2,621","3,770","2,423",824,,Percent of Total Freeway Land Miles Congestioned (UMR),2800.00%
New Jersey,2011,,"3,333","8,480","2,882,186","655,776","156,000","6,245,157",1,65,9,254,41,357,435,"1,576",527,23,307,"73,094","3,323","40,714","6,514","2,433",,Percent of Total Freeway Land Miles Congestioned (UMR),4736.00%
New Mexico,2011,,"12,119","29,160","475,012","41,751","186,194","1,552,553",1,848,1,"1,849",1,152,32,648,329,254,73,"25,650","7,527","6,654","3,932",682,,Percent of Total Freeway Land Miles Congestioned (UMR),2605.00%
New York,2011,,"16,439","38,216","2,869,968","1,514,762","368,086","7,616,075",24,847,10,"1,409",89,855,834,"2,797",767,193,260,"127,726","9,970","55,238","17,378","6,937",,Percent of Total Freeway Land Miles Congestioned (UMR),4325.00%
North Caroli,2011,,"80,392","170,221","2,528,826","767,544","296,833","4,175,531",14,522,16,"1,805",12,614,88,"1,705",888,218,158,"103,772","13,752","33,685","18,214","5,106",,Percent of Total Freeway Land Miles Congestioned (UMR),3500.00%
North Dakota,2011,,"7,402","16,996","414,375","34,625","18,652","498,328",0,519,37,"2,935",-,52,13,164,112,56,7,"9,131","3,854","1,138","4,410",972,,Percent of Total Freeway Land Miles Congestioned (UMR),3063.00%
Ohio,2011,,"20,392","49,349","1,757,950","429,328","460,306","3,311,685",2,723,5,"1,970",21,850,314,"2,421",818,147,173,"111,990","15,568","40,321","27,403","7,094",,Percent of Total Freeway Land Miles Congestioned (UMR),2812.00%
Oklahoma,2011,,"13,368","30,252","1,627,161","229,709","181,359","2,894,569",2,684,28,"2,328",23,249,177,"1,054",499,148,76,"47,464","10,102","13,400","23,730","7,001",,Percent of Total Freeway Land Miles Congestioned (UMR),3400.00%
Oregon,2011,,"8,333","18,606","580,129","249,382","146,308","1,197,479",7,553,6,"2,793",2,176,35,757,296,85,59,"33,373","8,507","10,564","7,353","1,760",,Percent of Total Freeway Land Miles Congestioned (UMR),3959.00%
Pennsylvania,2011,,"41,168","88,450","4,932,200","1,349,918","471,675","8,763,371",4,"1,106",10,"1,538",16,716,221,"2,369","1,047",150,352,"99,204","16,602","35,696","22,320","10,093",,Percent of Total Freeway Land Miles Congestioned (UMR),4108.00%
Rhode Island,2011,,"1,108","2,916","229,369","88,460","39,698","462,762",0,21,14,48,0,50,72,346,49,-,42,"7,901",531,"4,963",751,408,,Percent of Total Freeway Land Miles Congestioned (UMR),4015.00%
South Caroli,2011,,"41,600","90,233","902,056","359,594","120,603","1,572,711",1,581,3,"1,289",6,270,17,"1,055",719,207,90,"48,730","10,909","14,167","9,270","2,008",,Percent of Total Freeway Land Miles Congestioned (UMR),3939.00%
South Dakota,2011,,"9,337","18,210","339,561","62,054","42,854","481,039",1,535,0,"2,415",2,69,4,98,95,39,4,"9,002","3,742","1,222","5,877","1,465",,Percent of Total Freeway Land Miles Congestioned (UMR),2325.00%
Tennessee,2011,,"14,211","36,858","1,280,377","298,574","164,383","1,778,068",2,686,4,"1,878",11,416,88,"1,510",804,137,206,"70,751","14,135","24,512","19,937","3,984",,Percent of Total Freeway Land Miles Congestioned (UMR),3499.00%
Texas,2011,,"80,385","194,763","6,969,270","1,718,771","318,254","10,891,650",22,"2,039",19,"7,330",48,"1,167",692,"5,633","2,239",489,891,"237,440","36,061","109,579","51,874","10,167",,Percent of Total Freeway Land Miles Congestioned (UMR),3853.00%
Utah,2011,,"5,848","15,812","1,257,136","216,933","125,163","2,058,437",0,724,4,"1,032",2,213,4,375,180,59,65,"26,222","4,731","9,489","2,946",473,,Percent of Total Freeway Land Miles Congestioned (UMR),4151.00%
Vermont,2011,,"2,681","6,037","262,549","94,005","55,445","479,622",1,279,10,319,1,40,17,96,47,15,4,"7,141","1,963",869,"2,717",926,,Percent of Total Freeway Land Miles Congestioned (UMR),2287.00%
Virginia,2011,,"58,335","126,124","1,215,856","1,412,902","309,655","3,518,873",0,656,0,"1,406",12,460,72,"1,302",630,214,156,"80,974","15,540","31,257","13,524","3,602",,Percent of Total Freeway Land Miles Congestioned (UMR),4639.00%
Washington,2011,,"17,214","18,397","2,407,863","790,627","197,827","4,224,849",31,467,7,"1,257",19,297,332,"1,286",400,113,88,"56,955","8,605","24,933","7,743","2,070",,Percent of Total Freeway Land Miles Congestioned (UMR),4859.00%
West Virginia,2011,,"34,623","71,588","818,565","308,964","115,800","1,375,349",9,368,12,"1,068",3,187,11,335,287,75,54,"18,963","5,235","4,743","7,099","2,630",,Percent of Total Freeway Land Miles Congestioned (UMR),2544.00%
Wisconsin,2011,,"11,899","29,593","1,412,809","227,214","191,773","2,184,726",1,478,32,"2,961",9,265,191,"1,858",483,108,105,"58,554","13,778","18,962","14,024","2,081",,Percent of Total Freeway Land Miles Congestioned (UMR),2526.00%
Wyoming,2011,,"7,899","15,794","385,830","71,431","59,863","560,098",0,812,12,"1,934",4,100,16,202,120,60,21,"9,245","4,032","1,261","3,068",704,,Percent of Total Freeway Land Miles Congestioned (UMR),1581.00%
Alabama,2012,21st,"11,064","29,247","951,651","194,265","192,245","1,670,604",13,605,8,"2,103",23,384,21,"1,023",793,143,216,"64,959","12,101","15,940","15,881","3,321",,,
Alaska,2012,21st,"7,405","11,415","396,228","235,665","68,767","805,234",101,"1,024",109,544,2,57,9,129,61,26,14,"4,792","1,338","1,445",983,214,,,
Arizo,2012,21st,"7,143","19,385","1,021,042","148,703","129,973","2,368,315",13,982,12,"1,168",1,187,51,769,726,153,281,"60,129","10,453","26,154","7,569",835,,,
Arkansas,2012,21st,"16,395","37,400","794,019","191,930","33,180","1,193,512",20,429,20,"2,067",25,218,47,652,443,142,71,"33,522","8,696","9,066","12,620","2,372",,,
California,2012,21st,"18,198","50,462","3,993,916","1,872,371","887,226","9,119,695",73,"1,222",33,"3,223",135,875,"1,179","5,118","2,860",650,"1,177","326,272","33,510","182,863","25,537","1,599",,,
Colorado,2012,21st,"9,912","22,934","820,594","417,122","204,913","1,775,534",31,684,13,"2,311",7,268,173,"1,179",460,109,181,"46,769","8,435","21,066","8,210","1,285",,,
Connecticut,2012,21st,"4,054","9,832","773,860","101,469","312,757","1,907,200",1,43,4,127,14,303,151,689,162,25,77,"31,269","1,520","17,311","4,203","1,508",,,
Delaware,2012,21st,"5,457","11,807","446,127","391,919","85,485","1,888,204",-,,2,161,3,41,21,176,86,15,36,"9,186","1,406","3,637",860,167,,,
Florida,2012,21st,"12,154","43,195","4,298,618","932,920","236,415","6,956,076",0,747,7,"2,611",7,741,69,"3,411","1,401",199,878,"191,374","18,941","75,336","11,363","1,811",,,
Georgia,2012,21st,"18,268","48,415","1,275,687","239,170","414,557","2,944,354",-,695,0,"2,584",0,518,12,"1,853","1,078",173,346,"107,488","16,058","34,405","14,666","2,576",,,
Hawaii,2012,21st,"1,013","2,491","222,624","55,692","91,133","432,228",1,6,14,107,16,48,32,230,115,17,30,"10,050",563,"4,133","1,163",428,,,
Idaho,2012,21st,"4,986","12,288","375,920","92,627","27,671","586,147",23,522,42,"1,736",6,90,86,438,157,57,23,"16,315","4,443","3,608","3,685",676,,,
Illinois,2012,21st,"16,735","42,122","3,349,660","686,697","301,826","5,482,470",-,"1,356",8,"2,353",1,826,233,"3,141",855,113,326,"104,578","12,684","43,591","26,581","4,184",,,
India,2012,21st,"11,177","28,174","1,700,716","495,934","81,148","2,391,474",30,599,20,"1,537",30,412,189,"1,820",437,59,27,"78,923","11,912","22,551","18,893","3,979",,,
Iowa,2012,21st,"9,512","22,818","893,998","203,230","59,527","1,269,899",2,629,50,"3,451",9,153,87,770,260,95,26,"31,596","10,622","6,264","24,361","6,103",,,
Kansas,2012,21st,"10,555","23,988","923,432","145,732","67,722","1,817,095",-,656,1,"2,671",1,218,28,720,351,145,51,"30,572","7,814","9,015","25,162","4,300",,,
Kentucky,2012,21st,"28,006","61,858","1,277,745","408,044","25,314","1,976,251",2,568,4,"1,076",1,182,35,451,613,161,88,"47,344","13,060","10,979","13,945","4,069",,,
Louisia,2012,21st,"16,690","39,194","1,364,969","153,622","109,641","2,761,236",21,528,31,998,55,360,152,948,679,73,222,"46,889","8,504","16,381","12,905","3,588",,,
Maine,2012,21st,"8,696","17,687","380,032","211,599","20,954","686,916",0,299,3,788,0,68,8,135,85,28,-,"14,199","4,072","1,628","2,313",596,,,
Maryland,2012,21st,"5,439","14,753","1,077,555","509,163","91,322","2,558,422",3,182,3,443,26,296,184,"1,044",437,37,190,"56,476","6,993","29,467","5,242","1,293",,,
Massachusetts,2012,21st,"3,662","9,572","1,064,039","286,495","274,098","2,472,808",2,64,5,105,28,509,429,"1,937",161,15,116,"55,940","1,104","33,330","5,149","1,962",,,
Michigan,2012,21st,"9,692","27,434","1,101,434","284,510","95,594","1,998,033",21,603,12,"2,196",41,641,369,"2,302",871,79,346,"94,548","12,101","38,246","10,944","2,586",,,
Minnesota,2012,21st,"13,563","29,297","950,179","392,329","170,336","1,793,463",17,629,88,"3,574",23,283,46,673,403,82,91,"56,988","11,357","16,829","13,751","1,743",,,
Mississippi,2012,21st,"11,043","27,728","827,789","87,061","69,109","1,098,717",8,502,3,"1,934",1,198,100,980,537,120,93,"38,667","9,425","8,702","16,564","3,421",,,
Missouri,2012,21st,"33,884","76,206","1,192,625","463,398","68,473","2,280,095",6,867,13,"2,066",14,510,32,760,725,140,214,"68,504","14,322","24,023","24,315","6,017",,,
Monta,2012,21st,"11,339","25,055","501,473","153,351","47,616","841,404",17,"1,129",33,"2,623",1,63,34,190,174,83,4,"11,885","4,946","1,383","4,942",814,,,
Nebraska,2012,21st,"10,142","22,473","407,437","159,513","26,279","668,096",-,418,22,"2,360",0,64,68,401,165,61,35,"19,277","5,966","4,492","15,086","3,456",,,
Nevada,2012,21st,"5,693","13,388","723,702","134,905","131,234","1,249,752",7,440,0,"1,510",5,147,9,313,199,53,87,"24,148","3,425","8,147","1,802",201,,,
New Hampshire,2012,21st,"4,030","8,431","319,550","80,126","95,025","749,488",4,154,1,342,0,71,16,203,60,15,14,"12,894","2,659","3,837","2,506",712,,,
New Jersey,2012,21st,"3,338","8,496","2,639,931","515,843","148,152","6,767,811",1,45,6,157,41,383,398,"1,736",564,22,347,"74,225","2,312","43,442","6,553","1,660",,,
New Mexico,2012,21st,"12,091","29,143","443,060","11,548","278,332","917,116",1,846,1,"1,832",1,151,37,664,248,142,68,"25,562","7,548","6,726","3,725",563,,,
New York,2012,21st,"16,482","38,204","2,869,968","1,514,762","368,086","7,616,075",24,847,14,"1,474",90,855,836,"2,840",816,260,250,"128,221","10,114","55,516","17,392","6,752",,,
North Caroli,2012,21st,"80,456","170,546","2,608,085","721,330","338,551","4,206,365",14,581,17,"1,785",18,667,137,"1,659",986,256,149,"104,950","13,975","33,686","18,292","5,339",,,
North Dakota,2012,21st,"7,397","16,976","627,270","26,452","22,736","709,322",-,519,23,"2,935",0,52,14,188,139,59,15,"10,081","4,411","1,239","4,278",826,,,
Ohio,2012,21st,"20,371","49,381","2,143,669","421,566","312,330","3,548,696",2,723,5,"1,969",32,850,349,"2,410",896,145,220,"112,715","15,765","40,965","29,695","6,365",,,
Oklahoma,2012,21st,"13,369","30,322","1,358,393","207,794","173,883","2,077,638",2,684,19,"2,328",18,249,178,"1,052",523,129,92,"47,872","10,229","13,529","22,876","5,344",,,
Oregon,2012,21st,"8,331","18,598","569,058","292,247","149,557","1,757,323",7,550,26,"2,781",7,172,66,729,338,105,84,"33,173","8,490","10,543","6,747","1,487",,,
Pennsylvania,2012,21st,"41,147","88,383","3,315,043","1,378,795","502,142","6,819,201",4,"1,117",12,"1,592",20,731,309,"2,545","1,155",166,406,"98,884","16,315","35,931","22,593","8,752",,,
Rhode Island,2012,21st,"1,114","2,887","315,275","76,195","36,877","594,644",-,21,4,48,1,48,96,354,30,3,21,"7,807",535,"4,856",766,387,,,
South Caroli,2012,21st,"41,584","90,242","1,019,745","304,377","123,391","1,638,550",1,581,4,"1,648",2,270,20,"1,011",767,230,68,"49,036","12,077","14,224","9,268","1,925",,,
South Dakota,2012,21st,"9,428","18,013","371,511","51,220","51,793","516,998",1,599,26,"2,899",1,80,12,118,119,41,9,"9,113","3,842","1,173","5,771","1,410",,,
Tennessee,2012,21st,"14,226","36,974","1,352,723","282,644","166,107","1,835,430",2,687,6,"1,880",10,413,81,"1,510",915,148,275,"71,167","14,173","24,757","19,738","3,170",,,
Texas,2012,21st,"80,476","194,954","8,240,352","2,129,980","304,092","12,639,021",22,"2,041",10,"7,492",40,"1,161",538,"5,144","2,319",592,766,"237,836","36,966","110,197","52,536","8,682",,,
Utah,2012,21st,"5,866","15,960","1,066,528","327,768","278,463","2,153,910",0,724,0,"1,132",0,210,7,594,170,48,60,"26,528","4,943","10,826","2,917",331,,,
Vermont,2012,21st,"2,669","5,980","261,500","172,643","66,779","572,160",1,280,6,321,0,40,12,104,67,20,8,"7,216","1,974",889,"2,711",779,,,
Virginia,2012,21st,"58,355","126,227","1,358,379","1,717,424","304,407","4,085,842",0,658,-,"1,406",11,461,79,"1,321",687,106,219,"80,959","15,574","31,293","20,983","4,881",,,
Washington,2012,21st,"17,232","18,422","3,471,269","738,625","215,496","5,187,497",31,467,10,"1,359",23,297,304,"1,363",422,105,113,"56,762","8,630","24,884","7,319","1,875",,,
West Virginia,2012,21st,"34,645","71,217","821,306","313,655","115,524","1,381,724",9,365,10,"1,044",6,187,15,331,303,84,56,"19,226","5,419","4,847","7,049","2,375",,,
Wisconsin,2012,21st,"11,902","29,624","1,455,253","212,046","186,967","2,700,522",1,479,37,"2,924",9,256,197,"1,791",547,105,163,"59,087","13,466","18,828","14,022","1,996",,,
Wyoming,2012,21st,"7,896","15,972","417,901","89,295","51,040","609,572",-,,3,"1,923",5,104,15,213,104,62,11,"9,271","3,963","1,316","2,801",368,,,
Alabama,2013,22nd,"11,071","29,979","977,342","178,867","196,655","1,679,311",14,610,12,"2,229",27,392,35,"1,165",739,176,146,"65,046","12,345","16,534","15,906","3,293",,,
Alaska,2013,22nd,"7,940","11,377","592,321","226,048","80,587","978,523",110,"1,024",246,808,3,57,9,131,45,17,12,"4,848","1,370","1,461",970,192,,,
Arizo,2013,22nd,"7,192","19,510","846,523","156,963","215,695","2,326,593",14,919,7,"1,118",2,247,45,566,734,132,290,"60,586","8,905","27,412","7,682",782,,,
Arkansas,2013,22nd,"16,411","38,357","1,211,878","190,915","34,581","1,610,756",14,363,15,"1,898",25,265,44,692,364,107,68,"33,493","7,449","10,098","12,648","2,304",,,
California,2013,22nd,"18,535","51,326","3,150,281","1,191,119","880,182","7,768,007",76,"1,169",31,"3,200",160,"1,198","1,253","5,565","2,776",636,"1,100","329,534","28,715","189,435","24,651","1,469",,,
Colorado,2013,22nd,"9,911","22,931","889,930","464,304","141,016","1,870,254",49,684,29,"2,611",11,268,180,975,436,131,160,"46,968","8,832","20,638","8,210","1,349",,,
Connecticut,2013,22nd,"4,079","9,834","794,825","118,301","339,728","1,949,377",1,43,3,127,12,303,92,689,212,51,62,"30,941","1,510","17,174","4,202","1,501",,,
Delaware,2013,22nd,"5,464","11,829","402,879","519,531","76,820","1,368,025",,,0,161,4,41,13,176,87,18,31,"9,308","1,451","3,646",867,174,,,
Florida,2013,22nd,"12,186","43,357","4,631,136","941,457","274,358","9,033,316",0,748,5,"2,608",8,744,64,"3,202","1,252",397,751,"192,702","19,261","76,165","11,461","1,789",,,
Georgia,2013,22nd,"18,092","48,606","1,174,364","277,918","288,333","2,472,451",10,507,11,"2,290",20,700,129,"2,159",993,153,280,"109,355","11,382","39,546","14,675","2,456",,,
Hawaii,2013,22nd,"1,016","2,489","207,202","64,472","79,177","411,586",,,2,66,17,55,36,274,84,13,33,"10,099",297,"4,409","1,163",428,,,
Idaho,2013,22nd,"4,982","12,294","368,602","102,982","29,055","596,759",13,522,20,"1,721",4,90,75,410,179,72,18,"15,980","4,466","3,661","3,694",657,,,
Illinois,2013,22nd,"16,737","42,176","3,375,680","694,609","302,416","5,114,014",0,"1,286",11,"2,319",1,899,209,"3,156",857,122,278,"105,297","12,140","45,081","26,601","4,144",,,
India,2013,22nd,"11,175","28,792","1,531,068","698,302","96,708","2,583,931",30,644,18,"1,418",26,386,198,"1,646",432,70,29,"78,311","11,996","21,270","18,936","3,787",,,
Iowa,2013,22nd,"9,503","22,793","735,152","194,358","117,764","1,169,208",15,574,165,"2,562",16,147,48,534,252,86,26,"31,641","10,129","6,852","24,263","6,057",,,
Kansas,2013,22nd,"10,537","23,971","595,123","154,483","68,634","1,192,017",0,647,0,"2,651",0,227,25,727,276,112,39,"30,208","7,510","9,028","24,977","4,074",,,
Kentucky,2013,22nd,"28,167","61,836","1,385,414","405,879","31,179","2,141,213",2,585,7,"1,307",2,192,28,491,525,138,68,"46,996","13,019","10,869","14,022","4,149",,,
Louisia,2013,22nd,"16,725","39,340","1,053,504","129,433","97,353","2,021,995",20,525,26,991,52,354,191,"1,032",600,72,169,"47,758","8,905","16,948","12,821","3,573",,,
Maine,2013,22nd,"8,698","17,568","380,032","211,599","20,954","686,916",0,299,3,788,0,68,10,135,70,28,2,"14,129","4,062","1,607","2,325",605,,,
Maryland,2013,22nd,"5,449","14,769","1,207,048","348,676","98,153","2,242,316",2,142,5,335,26,338,273,"1,186",406,37,179,"56,688","4,265","32,139","5,243","1,238",,,
Massachusetts,2013,22nd,"3,658","9,577","1,064,039","286,495","274,098","2,472,808",2,64,2,105,26,510,429,"1,944",228,12,126,"56,311","1,132","33,139","5,162","1,837",,,
Michigan,2013,22nd,"9,726","27,454","1,081,219","290,501","98,277","1,994,832",19,564,16,"2,131",53,680,397,"2,369",814,78,321,"95,132","11,061","39,648","10,977","2,569",,,
Minnesota,2013,22nd,"13,525","29,262","978,918","507,597","184,983","1,927,873",17,590,60,"3,405",23,317,38,772,341,76,50,"56,974","10,654","17,408","13,800","1,655",,,
Mississippi,2013,22nd,"11,548","27,875","935,623","81,173","68,165","1,197,562",9,473,11,"1,863",8,228,111,968,462,285,33,"38,758","9,011","9,255","16,564","3,421",,,
Missouri,2013,22nd,"33,892","76,277","965,791","454,056","68,603","2,024,870",6,841,10,"1,998",12,497,24,690,620,116,170,"69,458","13,903","24,434","24,348","5,832",,,
Monta,2013,22nd,"11,345","25,087","435,946","126,100","48,267","679,133",9,"1,095",35,"2,773",2,98,33,248,194,109,1,"12,033","4,754","1,810","4,955",814,,,
